date,ISPU,Batas Atas Kategori Baik,Batas Atas Kategori Sedang,Batas Atas Kategori Tidak Sehat
2020-02-01,73,50,100,199
2020-02-02,64,50,100,199
2020-02-03,64,50,100,199
2020-02-04,77,50,100,199
2020-02-05,104,50,100,199
2020-02-06,93,50,100,199
2020-02-07,73,50,100,199
2020-02-08,66,50,100,199
2020-02-09,91,50,100,199
2020-02-10,109,50,100,199
2020-02-11,126,50,100,199
2020-02-12,105,50,100,199
2020-02-13,118,50,100,199
2020-02-14,191,50,100,199
2020-02-15,118,50,100,199
2020-02-16,90,50,100,199
2020-02-17,182,50,100,199
2020-02-18,81,50,100,199
2020-02-19,56,50,100,199
2020-02-20,57,50,100,199
2020-02-21,88,50,100,199
2020-02-22,48,50,100,199
2020-02-23,66,50,100,199
2020-02-24,75,50,100,199
2020-02-25,77,50,100,199
2020-02-26,96,50,100,199
2020-02-27,96,50,100,199
2020-02-28,78,50,100,199
2020-02-29,82,50,100,199
2020-03-01,110,50,100,199
2020-03-02,77,50,100,199
2020-03-03,76,50,100,199
2020-03-04,89,50,100,199
2020-03-05,64,50,100,199
2020-03-06,74,50,100,199
2020-03-07,112,50,100,199
2020-03-08,77,50,100,199
2020-03-09,92,50,100,199
2020-03-10,86,50,100,199
2020-03-11,83,50,100,199
2020-03-12,114,50,100,199
2020-03-13,76,50,100,199
2020-03-14,94,50,100,199
2020-03-15,84,50,100,199
2020-03-16,105,50,100,199
2020-03-17,86,50,100,199
2020-03-18,132,50,100,199
2020-03-19,125,50,100,199
2020-03-20,87,50,100,199
2020-03-21,80,50,100,199
2020-03-22,89,50,100,199
2020-03-23,110,50,100,199
2020-03-24,112,50,100,199
2020-03-25,65,50,100,199
2020-03-26,71,50,100,199
2020-03-27,101,50,100,199
2020-03-28,95,50,100,199
2020-03-29,114,50,100,199
2020-03-30,102,50,100,199
2020-03-31,75,50,100,199
2020-04-01,117,50,100,199
2020-04-02,92,50,100,199
2020-04-03,82,50,100,199
2020-04-04,98,50,100,199
2020-04-05,104,50,100,199
2020-04-06,121,50,100,199
2020-04-07,93,50,100,199
2020-04-08,100,50,100,199
2020-04-09,87,50,100,199
2020-04-10,102,50,100,199
2020-04-11,111,50,100,199
2020-04-12,107,50,100,199
2020-04-13,115,50,100,199
2020-04-14,103,50,100,199
2020-04-15,113,50,100,199
2020-04-16,72,50,100,199
2020-04-17,104,50,100,199
2020-04-18,136,50,100,199
2020-04-19,109,50,100,199
2020-04-20,104,50,100,199
2020-04-21,105,50,100,199
2020-04-22,90,50,100,199
2020-04-23,87,50,100,199
2020-04-24,101,50,100,199
2020-04-25,104,50,100,199
2020-04-26,109,50,100,199
2020-04-27,111,50,100,199
2020-04-28,116,50,100,199
2020-04-29,124,50,100,199
2020-04-30,103,50,100,199
2020-05-01,108,50,100,199
2020-05-02,79,50,100,199
2020-05-03,102,50,100,199
2020-05-04,112,50,100,199
2020-05-05,126,50,100,199
2020-05-06,112,50,100,199
2020-05-07,112,50,100,199
2020-05-08,101,50,100,199
2020-05-09,111,50,100,199
2020-05-10,103,50,100,199
2020-05-11,108,50,100,199
2020-05-12,91,50,100,199
2020-05-13,92,50,100,199
2020-05-14,122,50,100,199
2020-05-15,125,50,100,199
2020-05-16,0,50,100,199
2020-05-17,0,50,100,199
2020-05-18,120,50,100,199
2020-05-19,122,50,100,199
2020-05-20,109,50,100,199
2020-05-21,119,50,100,199
2020-05-22,100,50,100,199
2020-05-23,102,50,100,199
2020-05-24,104,50,100,199
2020-05-25,108,50,100,199
2020-05-26,88,50,100,199
2020-05-27,108,50,100,199
2020-05-28,97,50,100,199
2020-05-29,115,50,100,199
2020-05-30,108,50,100,199
2020-05-31,105,50,100,199
2020-06-01,92,50,100,199
2020-06-02,101,50,100,199
2020-06-03,112,50,100,199
2020-06-04,104,50,100,199
2020-06-05,106,50,100,199
2020-06-06,111,50,100,199
2020-06-07,112,50,100,199
2020-06-08,108,50,100,199
2020-06-09,128,50,100,199
2020-06-10,108,50,100,199
2020-06-11,112,50,100,199
2020-06-12,119,50,100,199
2020-06-13,112,50,100,199
2020-06-14,111,50,100,199
2020-06-15,93,50,100,199
2020-06-16,101,50,100,199
2020-06-17,115,50,100,199
2020-06-18,98,50,100,199
2020-06-19,78,50,100,199
2020-06-20,113,50,100,199
2020-06-21,104,50,100,199
2020-06-22,89,50,100,199
2020-06-23,100,50,100,199
2020-06-24,119,50,100,199
2020-06-25,90,50,100,199
2020-06-26,114,50,100,199
2020-06-27,113,50,100,199
2020-06-28,94,50,100,199
2020-06-29,83,50,100,199
2020-06-30,111,50,100,199
2020-07-01,100,50,100,199
2020-07-02,108,50,100,199
2020-07-03,104,50,100,199
2020-07-04,102,50,100,199
2020-07-05,98,50,100,199
2020-07-06,98,50,100,199
2020-07-07,105,50,100,199
2020-07-08,116,50,100,199
2020-07-09,113,50,100,199
2020-07-10,103,50,100,199
2020-07-11,97,50,100,199
2020-07-12,106,50,100,199
2020-07-13,132,50,100,199
2020-07-14,104,50,100,199
2020-07-15,91,50,100,199
2020-07-16,89,50,100,199
2020-07-17,103,50,100,199
2020-07-18,86,50,100,199
2020-07-19,85,50,100,199
2020-07-20,79,50,100,199
2020-07-21,101,50,100,199
2020-07-22,102,50,100,199
2020-07-23,106,50,100,199
2020-07-24,104,50,100,199
2020-07-25,81,50,100,199
2020-07-26,90,50,100,199
2020-07-27,97,50,100,199
2020-07-28,108,50,100,199
2020-07-29,106,50,100,199
2020-07-30,89,50,100,199
2020-07-31,100,50,100,199
2020-08-01,61,50,100,199
2020-08-02,81,50,100,199
2020-08-03,95,50,100,199
2020-08-04,100,50,100,199
2020-08-05,85,50,100,199
2020-08-06,21,50,100,199
2020-08-07,77,50,100,199
2020-08-08,99,50,100,199
2020-08-09,109,50,100,199
2020-08-10,113,50,100,199
2020-08-11,103,50,100,199
2020-08-12,106,50,100,199
2020-08-13,85,50,100,199
2020-08-14,82,50,100,199
2020-08-15,98,50,100,199
2020-08-16,101,50,100,199
2020-08-17,94,50,100,199
2020-08-18,82,50,100,199
2020-08-19,65,50,100,199
2020-08-20,91,50,100,199
2020-08-21,77,50,100,199
2020-08-22,90,50,100,199
2020-08-23,87,50,100,199
2020-08-24,90,50,100,199
2020-08-25,90,50,100,199
2020-08-26,105,50,100,199
2020-08-27,73,50,100,199
2020-08-28,87,50,100,199
2020-08-29,54,50,100,199
2020-08-30,78,50,100,199
2020-08-31,91,50,100,199
2020-09-01,96,50,100,199
2020-09-02,124,50,100,199
2020-09-03,105,50,100,199
2020-09-04,108,50,100,199
2020-09-05,111,50,100,199
2020-09-06,119,50,100,199
2020-09-07,119,50,100,199
2020-09-08,97,50,100,199
2020-09-09,84,50,100,199
2020-09-10,109,50,100,199
2020-09-11,87,50,100,199
2020-09-12,101,50,100,199
2020-09-13,104,50,100,199
2020-09-14,95,50,100,199
2020-09-15,106,50,100,199
2020-09-16,100,50,100,199
2020-09-17,102,50,100,199
2020-09-18,107,50,100,199
2020-09-19,107,50,100,199
2020-09-20,95,50,100,199
2020-09-21,97,50,100,199
2020-09-22,93,50,100,199
2020-09-23,71,50,100,199
2020-09-24,82,50,100,199
2020-09-25,68,50,100,199