district,lat,long,total_confirmed,region,vaccinated,deaths,male,female,over 75,population,life expectancy
Cilincing,-6.1333328,106.9499962,17415,Jakarta Utara,189174,340,222524,217711,3286,440235,75.13
Koja,-6.117664,106.906349,17226,Jakarta Utara,289400,338,176790,172014,3016,348804,75.13
Kelapa Gading,-6.16022,106.90624,12636,Jakarta Utara,148563,192,70582,73394,3179,143976,75.13
Tanjung Priok,-6.132055,106.871483,25760,Jakarta Utara,312719,425,211367,208188,4937,419555,75.13
Pademangan,-6.132596,106.838487,12874,Jakarta Utara,110943,163,86127,83300,2263,169427,75.13
Kalideres,-6.134294,106.705773,18020,Jakarta Barat,237009,316,227626,222320,3589,449946,75.43
Cengkareng,-6.148665,106.73526,28646,Jakarta Barat,260825,559,291890,284326,4511,576216,75.43
Penjaringan,-6.1288,106.7972,18642,Jakarta Utara,208204,229,162640,158900,5208,321540,75.13
Grogol Petamburan,-6.1617,106.7846,19082,Jakarta Barat,172013,298,119364,120651,5245,240015,75.43
Tambora,-6.149,106.8031,14119,Jakarta Barat,157940,253,139096,134235,4501,273331,75.43
Taman Sari,-6.156668,106.827187,8754,Jakarta Barat,86820,140,64572,64794,3373,129366,75.43
Palmerah,-6.190071,106.797188,15833,Jakarta Barat,151513,329,117693,115181,3326,232874,75.43
Kebon Jeruk,-6.1835,106.7647,22082,Jakarta Barat,189701,375,182024,180875,4966,362899,75.43
Kembangan,-6.193,106.7426,20246,Jakarta Barat,179099,303,153003,151812,3399,304815,75.43
Pesanggrahan,-6.2474,106.7618,16372,Jakarta Selatan,189852,252,132303,132364,2976,264667,76.04
Kebayoran Lama,-6.2444,106.7765,20046,Jakarta Selatan,160265,363,165207,164235,4928,329442,76.04
Kebayoran Baru,-6.2436,106.8001,13876,Jakarta Selatan,965496,185,77828,78909,3137,156737,76.04
Setiabudi,-6.213519,106.822266,12002,Jakarta Selatan,112950,183,59021,58830,1885,117851,76.04
Mampang Prapatan,-6.2506,106.8208,11508,Jakarta Selatan,100632,179,80416,78663,1881,159079,76.04
Cilandak,-6.311272,106.793541,17690,Jakarta Selatan,190750,261,111708,113624,4083,225332,76.04
Pasar Minggu,-6.2896,106.84,23812,Jakarta Selatan,154555,426,166754,165071,4302,331825,76.04
Pancoran,-6.2523,106.847336,14362,Jakarta Selatan,167166,227,88425,88294,2500,176719,76.04
Tebet,-6.23186,106.847338,16951,Jakarta Selatan,111285,280,120584,121675,4329,242259,76.04
Jagakarsa,-6.330212,106.826378,16591,Jakarta Selatan,158256,406,182355,180736,3537,363091,76.04
Gambir,-6.17311,106.829361,8561,Jakarta Pusat,124872,134,51577,50613,2991,102190,75.92
Sawah Besar,-6.153194,106.832588,9155,Jakarta Pusat,202958,172,66876,66674,3733,133550,75.92
Tanah Abang,-6.2024,106.8119,11042,Jakarta Pusat,169451,223,91772,89724,3433,181496,75.92
Menteng,-6.196,106.8331,6433,Jakarta Pusat,94690,119,46334,45732,2176,92066,75.92
Senen,-6.1935,106.8503,9385,Jakarta Pusat,102208,168,65484,63871,2649,129355,75.92
Johar Baru,-6.1831,106.8562,8681,Jakarta Pusat,129554,157,74092,72068,2604,146160,75.92
Cempaka Putih,-6.174355,106.876404,10518,Jakarta Pusat,83068,168,51053,51220,2579,102273,75.92
Pulo Gadung,-6.1936,106.8912,21791,Jakarta Timur,160627,401,154395,155163,5584,309558,76.22
Matraman,-6.2033,106.8621,14221,Jakarta Timur,195371,279,95417,95717,2994,191134,76.22
Cakung,-6.182198,106.944695,22654,Jakarta Timur,197366,413,291027,281969,3363,572996,76.22
Jatinegara,-6.230702,106.882744,19569,Jakarta Timur,196605,383,165244,163048,4898,328292,76.22
Duren Sawit,-6.2322,106.9152,29465,Jakarta Timur,175686,611,222830,223943,6230,446773,76.22
Makasar,-6.2712,106.8945,17474,Jakarta Timur,169570,298,112786,111663,2266,224449,76.22
Kramat Jati,-6.273298,106.869469,21627,Jakarta Timur,163886,402,159753,157920,3439,317673,76.22
Ciracas,-6.323116,106.870941,22506,Jakarta Timur,142789,379,159363,157276,2710,316639,76.22
Cipayung,-6.31854,106.899117,25191,Jakarta Timur,267683,267,146814,144602,2373,291416,76.22