Provinsi Asal,Lat,Long,Kasus,Sembuh,Kematian
Aceh,4.695135,96.7493993,37733,34027,1927
Bali,-8.4095178,115.188916,112582,107627,3943
Banten,-6.4058172,106.0640179,131475,128002,2670
Bangka Belitung,-2.7410513,"106.4405872	",51209,48924,1397
Bengkulu,-3.5778471,102.3463875,23021,22463,466
DI Yogyakarta,-7.8753849,110.4262088,154829,148125,5190
DKI Jakarta,-6.211544,106.845172,857765,842510,13539
Jambi,-1.4851831,102.4380581,29547,28366,767
Jawa Barat,-7.090911,107.668887,702722,685219,14624
Jawa Tengah,-7.150975,110.1402594,482009,448597,29894
Jawa Timur,-7.5360639,112.2384017,395475,364251,29413
Kalimantan Barat,-0.2787808,111.4752851,39961,38711,1045
Kalimantan Timur,1.6406296,116.419389,156811,150282,5381
Kalimantan Tengah,-1.6814878,113.3823545,45162,42338,1367
Kalimantan Selatan,-3.0926415,115.2837585,69425,66531,2359
Kalimantan Utara,3.0731,116.0414,35007,31202,773
Kepulauan Riau,3.9456514,108.1428669,53633,51435,1737
Nusa Tenggara Barat,-8.6529334,117.3616476,27423,26380,799
Sumatera Selatan,-3.3194374,103.914399,59615,56184,3046
Sumatera Barat,-0.7399397,100.8000051,89276,86244,2121
Sulawesi Utara,0.6246932,123.9750018,34179,32317,1028
Sumatera Utara,2.1153547,99.5450974,104706,100076,2837
Sulawesi Tenggara,-4.14491,122.174605,20030,19216,523
Sulawesi Selatan,-3.6687994,119.9740534,108584,104498,2206
Sulawesi Tengah,-1.4300254,121.4456179,46341,43858,1561
Lampung,-4.5585849,105.4068079,49064,43964,3764
Riau,0.2933469,101.7068294,127735,122629,4064
Maluku Utara,1.5709993,127.8087693,11956,11567,302
Maluku,-3.2384616,130.1452734,14524,14113,258
Papua Barat,-1.3361154,133.1747162,22899,22461,352
Papua,-4.269928,138.0803529,33746,31441,496
Sulawesi Barat,-2.8441371,119.2320784,12159,11567,336
Nusa Tenggara Timur,-8.6573819,121.0793705,62716,60747,1296
Gorontalo,0.6999372,122.4467238,11735,11152,458